variant,duration_s,f0_mean_hz,f0_std_hz,f0_range_hz,voiced_ratio,speaking_rate_wps,rate_variance,pause_count,pause_mean_ms,pause_total_ms,rms_mean_db,rms_std_db,dynamic_range_db,flatness_score
baseline,99.10503401360545,169.68869698516278,55.75267809987077,186.46212471326294,0.5605013470774277,5.252525252525252,2.2291602897663507,34,835.5768974256368,28409.614512471653,-26.515287399291992,7.943020820617676,24.958587646484375,0.0
blend_only,97.55501133786848,163.86016336726303,54.298237483621996,178.88801831744996,0.5743186957039152,5.375,2.3871527777777777,33,829.2338349481207,27364.716553287984,-27.054935455322266,7.942572593688965,25.76023292541504,0.0
prosody_only,106.25501133786848,170.28698228485766,57.39754401792918,190.27229886146364,0.5641866054845406,5.276190476190477,1.7808616780045352,41,745.0207400033183,30545.85034013605,-26.54140853881836,8.128798484802246,25.76577377319336,0.0
full,103.45501133786848,167.74719905445107,54.783131837211656,186.07900172014718,0.5630120076310179,5.362745098039215,1.9501153402537483,39,743.3362404790977,28990.113378684808,-27.001699447631836,8.037479400634766,25.77613067626953,0.0
